SchoolTypeId;Name;Code;Address;ZipCode;City;Country;Website;E-Mail;Phone;Longitude;Latitude;IsActive;State;EmailSuffix
4;AHS Privatschule Waldorfschule Dreiklang;316631;Kreuttalstraße 107;2123;Unterolberndorf;Österreich;;admin@dreiklangschule.at;0680/3121747;16.4680604;48.4389661;1;NOE;0
4;BG Amstetten;305026;Anzengruberstraße 6;3300;Amstetten;Österreich;http://www.bgamstetten.ac.at;bg.amstetten@noeschule.at;07472/62903-0;14.8770699;48.1195;1;NOE;0
4;BG Baden, Biondekgasse;306016;Biondekgasse 6;2500;Baden;Österreich;http://www.brgbaden-biondek.ac.at;bg.baden-biondek@noeschule.at;02252/89787-0;16.2458066;48.0098962;1;NOE;0
4;BG Baden, Frauengasse;306026;Frauengasse 3-5;2500;Baden;Österreich;http://www.bgbaden-frauen.ac.at;bg.baden-frauen@noeschule.at;02252/44403-0;16.2344404;48.0068792;1;NOE;0
4;BG Berndorf;306036;Sportpromenade 19;2560;Berndorf;Österreich;http://www.bgberndorf.ac.at;bg.berndorf@noeschule.at;02672/82265-0;16.1023077;47.948464;1;NOE;0
4;BG Bruck/Leitha;307016;Fischamender Straße 23-25;2460;Bruck an der Leitha;Österreich;http://www.bgbruck-leitha.ac.at;bg.bruck-leitha@noeschule.at;02162/62432-0;16.7752274;48.0292534;1;NOE;0
4;BG Gänserndorf;308016;Gärtnergasse 5-7;2230;Gänserndorf;Österreich;http://www.klg.or.at;bg.gaenserndorf@noeschule.at;02282/2308;16.7219575;48.3421229;1;NOE;0
4;BG Gmünd;309016;Gymnasiumstraße 5;3950;Gmünd;Österreich;http://www.bggmuend.ac.at;bg.gmuend@noeschule.at;02852/52700-0;14.9889433;48.7696632;1;NOE;0
4;BG Hollabrunn;310016;Reucklstraße 9;2020;Hollabrunn;Österreich;http://www.bghollabrunn.ac.at;bg.hollabrunn@noeschule.at;02952/2628-0;16.0834158;48.5586447;1;NOE;0
4;BG Horn;311016;Puechhaimgasse 21;3580;Horn;Österreich;http://www.bghorn.ac.at;bg.horn@noeschule.at;02982/2347-0;15.6579927;48.6700199;1;NOE;0
4;BG Klosterneuburg;324016;Buchberggasse 31;3400;Klosterneuburg;Österreich;http://www.bgklosterneuburg.ac.at;bg.klosterneuburg@noeschule.at;02243/32155-0;16.319789;48.3038997;1;NOE;0
4;BG Krems, Rechte Kremszeile;301056;Rechte Kremszeile 54;3500;Krems an der Donau;Österreich;http://www.bg-kremszeile.ac.at;bg.krems-kremszeile@noeschule.at;02732/82471-0;15.6191647;48.409891;1;NOE;0
4;BG Krems, Piaristengasse;301016;Piaristengasse 2;3500;Krems an der Donau;Österreich;http://www.piakrems.ac.at;bg.krems-piaristen@noeschule.at;02732/83300-0;15.6008938;48.4127396;1;NOE;0
4;BG Laa/Thaya;316016;Martin Wachter-Platz 6;2136;Laa an der Thaya;Österreich;http://www.bglaa.ac.at;bg.laa-thaya@noeschule.at;02522/2401-0;16.3805644;48.7183828;1;NOE;0
4;BG Lilienfeld;314016;Klosterrotte 1;3180;Lilienfeld;Österreich;http://www.bglilienfeld.ac.at;bg.lilienfeld@noeschule.at;02762/52380-0;15.5985614;48.0130039;1;NOE;0
